pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs,model_name,model_display,source_file,inertia_value,silhouette_value,min_cluster_size,cluster_size_ratio,fold_eligible
2,2,0.3383158796514987,2596.6031117901757,0.0,0.536994090130785,0.0,97,97.0,106,106.0,1.092783505154639,1.092783505154639,5,deit_base_patch16_224,DeiT Base Patch 16 224,results/phase2/tuning/phase2_all_results_deit_base_patch16_224_averaged.csv,2596.6031117901757,0.536994090130785,97,1.092783505154639,True
2,3,0.3383158796514987,1655.7306984435631,0.3594849479047342,0.4925874494269708,7.15393206211344e-05,51,51.4,93,92.8,1.8235294117647056,1.8059933407325193,5,deit_base_patch16_224,DeiT Base Patch 16 224,results/phase2/tuning/phase2_all_results_deit_base_patch16_224_averaged.csv,1655.7306984435631,0.4925874494269708,51,1.8235294117647056,True
2,4,0.3383158796514987,1096.1162040836384,0.5610707484391798,0.4556548480242609,0.0023602912715856,39,39.0,65,64.4,1.6666666666666667,1.6512820512820514,5,deit_base_patch16_224,DeiT Base Patch 16 224,results/phase2/tuning/phase2_all_results_deit_base_patch16_224_averaged.csv,1096.1162040836384,0.4556548480242609,39,1.6666666666666667,True
3,2,0.4030675216150633,3882.425979724166,0.0620345366238912,0.4483950902908013,0.0001459416018022,97,97.2,106,105.8,1.092783505154639,1.0885125184094255,5,deit_base_patch16_224,DeiT Base Patch 16 224,results/phase2/tuning/phase2_all_results_deit_base_patch16_224_averaged.csv,3882.425979724166,0.4483950902908013,97,1.092783505154639,True
4,2,0.456542671506689,4863.753331084019,0.0,0.4155802731842324,0.0,100,100.0,103,103.0,1.03,1.03,5,deit_base_patch16_224,DeiT Base Patch 16 224,results/phase2/tuning/phase2_all_results_deit_base_patch16_224_averaged.csv,4863.753331084019,0.4155802731842324,100,1.03,True
2,5,0.3383158796514987,897.7258946463392,2.133188259156469,0.4130942369313303,0.0038508628675073,27,29.6,52,50.4,1.851851851851852,1.7060692951015533,5,deit_base_patch16_224,DeiT Base Patch 16 224,results/phase2/tuning/phase2_all_results_deit_base_patch16_224_averaged.csv,897.7258946463392,0.4130942369313303,27,1.851851851851852,True
2,7,0.3383158796514987,631.8095380392666,1.017960612982772,0.389287038228275,0.0027110109814974,17,17.6,43,39.4,2.5294117647058822,2.243137254901961,5,deit_base_patch16_224,DeiT Base Patch 16 224,results/phase2/tuning/phase2_all_results_deit_base_patch16_224_averaged.csv,631.8095380392666,0.389287038228275,17,2.5294117647058822,True
3,3,0.4030675216150633,2921.372070187928,0.2692792497150689,0.387680869449951,0.0001841843228258,52,52.8,93,93.0,1.7884615384615383,1.76171585228189,5,deit_base_patch16_224,DeiT Base Patch 16 224,results/phase2/tuning/phase2_all_results_deit_base_patch16_224_averaged.csv,2921.372070187928,0.387680869449951,52,1.7884615384615383,True
2,6,0.3383158796514987,744.9505427294514,0.8989183650267083,0.3817568274614185,0.0010224657746036,25,25.2,45,43.8,1.8,1.7384615384615385,5,deit_base_patch16_224,DeiT Base Patch 16 224,results/phase2/tuning/phase2_all_results_deit_base_patch16_224_averaged.csv,744.9505427294514,0.3817568274614185,25,1.8,True
5,2,0.5034450164991953,5795.055335925586,0.0,0.3792245232926232,0.0,100,100.0,103,103.0,1.03,1.03,5,deit_base_patch16_224,DeiT Base Patch 16 224,results/phase2/tuning/phase2_all_results_deit_base_patch16_224_averaged.csv,5795.055335925586,0.3792245232926232,100,1.03,True
