pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs
8,6,0.9376826487555355,2878.040434800527,18.33111175238381,0.29822989054242177,0.011459577793319223,1,9.2,56,54.6,55.0,14.898181818181817,5
8,7,0.9376826487555355,2615.1974687304737,22.439433628174257,0.2976821119455128,0.010867594775796107,1,2.6,55,53.4,55.0,43.8,5
8,8,0.9376826487555355,2383.067981271553,14.637202590025153,0.27614402474808797,0.0103785079828116,1,1.0,50,47.0,50.0,47.0,5
8,9,0.9376826487555355,2231.867631175869,18.862222820302385,0.25397585942315837,0.011174666264506057,1,1.0,42,38.2,42.0,38.2,5
10,2,0.9467199811325917,6555.185078338514,0.0,0.31888653314777615,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
10,3,0.9467199811325917,4656.811369036038,0.07016807229059482,0.3361927318156585,7.176129461695729e-05,41,41.0,88,87.2,2.1463414634146343,2.126829268292683,5
10,4,0.9467199811325917,3811.532726074972,0.0,0.3290069644341327,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
10,5,0.9467199811325917,3285.627776867024,2.1122017901676413,0.3019413847064857,0.0020875218976649694,15,17.2,59,55.8,3.933333333333333,3.291812865497076,5
10,6,0.9467199811325917,2962.577014109164,8.62772741159679,0.29160551202559304,0.00424186997546034,9,10.6,55,54.2,6.0,5.161818181818182,5
10,7,0.9467199811325917,2718.2172825338007,9.768859508021242,0.2855672826888801,0.013280040188677988,1,3.0,55,52.6,55.0,43.509090909090915,5
10,8,0.9467199811325917,2485.0825544121426,16.748573930297766,0.2740395794096995,0.01078842804154098,1,1.0,57,50.4,57.0,50.4,5
10,9,0.9467199811325917,2305.7145387819687,10.413549466449407,0.26448473499415237,0.012001073798954083,1,1.0,52,45.2,52.0,45.2,5
12,2,0.953705999229963,6628.351754757529,0.0,0.31697672441739955,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
12,3,0.953705999229963,4729.8518809157895,0.08042131527147274,0.3334924771955264,7.098926488095005e-05,41,41.0,88,87.2,2.1463414634146343,2.126829268292683,5
12,4,0.953705999229963,3883.5803967416505,0.0,0.3258978230160599,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
12,5,0.953705999229963,3358.06402602405,3.2004099757300213,0.2977478812244502,0.001641856928917376,15,16.6,59,56.8,3.933333333333333,3.477894736842105,5
12,6,0.953705999229963,3053.823820618626,29.078561836915267,0.2850386306394367,0.013631270517462749,9,10.4,55,53.8,6.0,5.209090909090909,5
12,7,0.953705999229963,2801.280282394103,22.100487406052068,0.28064613825813634,0.01734071942150177,1,4.4,55,52.6,55.0,34.0,5
12,8,0.953705999229963,2537.6002968144776,8.945765549968257,0.27199099461893067,0.009769211713554224,1,1.0,55,51.4,55.0,51.4,5
12,9,0.953705999229963,2367.1469650837544,16.84278656947711,0.25861435777504715,0.02335563099071613,1,1.0,54,45.4,54.0,45.4,5
15,2,0.9620339658139774,6715.672318702345,0.0,0.3141596867233512,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
15,3,0.9620339658139774,4816.687104366027,0.09587372663921337,0.3296011596077954,8.172725650868576e-05,41,41.0,88,87.2,2.1463414634146343,2.126829268292683,5
15,4,0.9620339658139774,3970.232011486177,0.677823552814783,0.3214779337417082,0.0003385421364405614,19,19.0,71,70.2,3.736842105263158,3.694736842105263,5
15,5,0.9620339658139774,3444.62743208451,1.9870586446582723,0.2929196136395424,0.0015790208097336649,15,17.2,60,56.2,4.0,3.315672514619883,5
15,6,0.9620339658139774,3126.6093344524666,21.30696887422815,0.2868129240609585,0.009798162791189613,9,11.0,55,54.6,6.111111111111111,5.09059829059829,5
15,7,0.9620339658139774,2863.9885364582615,28.93745621650219,0.2842116536439355,0.01101694372543335,1,3.0,55,53.6,55.0,43.78181818181818,5
15,8,0.9620339658139774,2635.8873434771535,28.593528819789462,0.2587053227317713,0.023760348175333814,1,1.0,55,47.6,55.0,47.6,5
15,9,0.9620339658139774,2447.4806418674902,10.010523878151709,0.24391573475144201,0.013189793181878726,1,1.0,54,42.0,54.0,42.0,5
18,2,0.9677494300389882,6775.442407521169,0.0,0.3119782014682647,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
18,3,0.9677494300389882,4876.567496372578,0.11808106096901726,0.32669395291019626,7.453666512560765e-05,41,41.0,88,87.2,2.1463414634146343,2.126829268292683,5
18,4,0.9677494300389882,4029.739778885739,0.0,0.31838963010262783,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
18,5,0.9677494300389882,3503.325196542393,2.167112965374008,0.28752962053644016,0.0029183222268688164,15,16.6,57,55.6,3.8,3.376601307189542,5
18,6,0.9677494300389882,3181.7094018117327,16.75562528641424,0.278868526520563,0.00870086349347372,9,11.2,55,54.6,6.111111111111111,4.965042735042735,5
18,7,0.9677494300389882,2927.7387431378515,18.10549514292181,0.28656473140956634,0.009832513433521185,1,2.8,56,55.0,56.0,45.1,5
18,8,0.9677494300389882,2666.545254208149,17.171089483370324,0.263647914751068,0.011709417704930414,1,1.0,54,50.0,54.0,50.0,5
18,9,0.9677494300389882,2502.6674250382384,9.40657840217245,0.2416418649672317,0.010682128116290567,1,1.0,43,39.0,43.0,39.0,5
20,2,0.9706790119924147,6806.08400488728,0.0,0.3108829049917187,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
20,3,0.9706790119924147,4907.295868730622,0.12990831761645488,0.32526364091200366,7.613538346269355e-05,41,41.0,88,87.2,2.1463414634146343,2.126829268292683,5
20,4,0.9706790119924147,4060.0543483896226,0.0,0.31673660174836926,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
20,5,0.9706790119924147,3532.6812003487307,2.7875634535728078,0.2867497737276402,0.003183280556221228,15,17.2,56,54.8,3.6,3.2010457516339867,5
20,6,0.9706790119924147,3204.183806736537,14.7389144797686,0.2786969883348881,0.00739486188588474,9,10.8,55,54.6,6.111111111111111,5.118888888888889,5
20,7,0.9706790119924147,2945.1218745951696,17.838271664475354,0.2867843428348899,0.005756570627106591,1,1.0,56,54.8,56.0,54.8,5
20,8,0.9706790119924147,2712.4201353006697,44.5439102143487,0.25571273079713713,0.01236111960282221,1,1.0,54,49.2,54.0,49.2,5
20,9,0.9706790119924147,2540.215556776621,13.75124699118012,0.24092474593219815,0.01269103343471837,1,1.0,55,41.6,55.0,41.6,5
25,2,0.9764892740410275,6867.104348177525,0.0,0.30853723382644566,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
25,3,0.9764892740410275,4968.042263803676,0.14486945208297278,0.3221727711963776,7.663103341369696e-05,41,41.0,88,87.2,2.1463414634146343,2.126829268292683,5
25,4,0.9764892740410275,4120.006278003147,0.0,0.3134260228986966,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
25,5,0.9764892740410275,3591.773310863636,2.094958667494113,0.28233702677401246,0.0016433654635679166,15,17.4,60,56.0,4.0,3.272982456140351,5
25,6,0.9764892740410275,3273.1123302137476,17.7512957898664,0.27777947232783007,0.006109680709961939,9,10.8,56,55.0,6.111111111111111,5.158888888888889,5
25,7,0.9764892740410275,2996.8022132760098,17.505932179738398,0.2814246324417734,0.00600596726034626,1,1.0,56,55.0,56.0,55.0,5
25,8,0.9764892740410275,2762.559228706068,28.429087431750663,0.2559809027579211,0.01130164408709266,1,1.0,54,47.8,54.0,47.8,5
25,9,0.9764892740410275,2586.992937020602,9.68409308959027,0.2304704743997435,0.00845774072431846,1,1.0,42,39.0,42.0,39.0,5
30,2,0.9807100526447581,6911.38657552684,0.0,0.30694065415549027,0.0,93,93.0,110,110.0,1.1827956989247312,1.1827956989247312,5
30,3,0.9807100526447581,5012.210630377844,0.14333961975385381,0.320027104979104,7.820188629126822e-05,41,41.0,88,87.2,2.1463414634146343,2.126829268292683,5
30,4,0.9807100526447581,4163.579669311398,0.0,0.3110271466807315,0.0,19,19.0,70,70.0,3.6842105263157894,3.684210526315789,5
30,5,0.9807100526447581,3635.7117577749123,2.616723478281567,0.28072328123768964,0.0015620912450028186,15,18.0,56,55.2,3.7333333333333334,3.0978362573099414,5
30,6,0.9807100526447581,3313.0170225568836,16.99050180189561,0.2737997831002432,0.006483296398882214,9,10.6,55,54.6,6.111111111111111,5.218888888888889,5
30,7,0.9807100526447581,3054.076190375735,22.64352644875714,0.2677155961653209,0.012561129641390526,1,2.6,57,54.4,57.0,44.8,5
30,8,0.9807100526447581,2818.969561001565,36.06359093331146,0.2531393607202939,0.011357748661738255,1,1.0,54,51.0,54.0,51.0,5
30,9,0.9807100526447581,2646.660785334939,18.614693800874534,0.24888351888754387,0.015091354611823869,1,1.0,55,50.4,55.0,50.4,5
