experiment,model,fold,validation_selected_fold,series,epoch,loss
Experiment 1,DenseNet-121,1,False,training,37,0.11742974420832027
Experiment 1,DenseNet-121,1,False,training,38,0.12957113389191882
Experiment 1,DenseNet-121,1,False,training,39,0.12095265137031674
Experiment 1,DenseNet-121,1,False,validation,1,0.7324469444297609
Experiment 1,DenseNet-121,1,False,validation,2,0.5850588267757779
Experiment 1,DenseNet-121,1,False,validation,3,0.5303103838648114
Experiment 1,DenseNet-121,1,False,validation,4,0.489898375812031
Experiment 1,DenseNet-121,1,False,validation,5,0.4580023572558448
Experiment 1,DenseNet-121,1,False,validation,6,0.40138918941929225
Experiment 1,DenseNet-121,1,False,validation,7,0.4020188734644935
Experiment 1,DenseNet-121,1,False,validation,8,0.31194485333703814
Experiment 1,DenseNet-121,1,False,validation,9,0.31231507446084705
Experiment 1,DenseNet-121,1,False,validation,10,0.30481844639316913
Experiment 1,DenseNet-121,1,False,validation,11,0.3298017258445422
Experiment 1,DenseNet-121,1,False,validation,12,0.2974219602488336
Experiment 1,DenseNet-121,1,False,validation,13,0.2731071123409839
Experiment 1,DenseNet-121,1,False,validation,14,0.29279073735787753
Experiment 1,DenseNet-121,1,False,validation,15,0.3511787818833476
Experiment 1,DenseNet-121,1,False,validation,16,0.24407292831511723
Experiment 1,DenseNet-121,1,False,validation,17,0.3145010627451397
Experiment 1,DenseNet-121,1,False,validation,18,0.3127855646113555
Experiment 1,DenseNet-121,1,False,validation,19,0.334879106176751
Experiment 1,DenseNet-121,1,False,validation,20,0.31308227830699514
Experiment 1,DenseNet-121,1,False,validation,21,0.31236476938994157
Experiment 1,DenseNet-121,1,False,validation,22,0.24192765709899722
Experiment 1,DenseNet-121,1,False,validation,23,0.3405252851634508
Experiment 1,DenseNet-121,1,False,validation,24,0.228402375997532
Experiment 1,DenseNet-121,1,False,validation,25,0.2509791237257776
Experiment 1,DenseNet-121,1,False,validation,26,0.24624059278340565
Experiment 1,DenseNet-121,1,False,validation,27,0.34723342541560887
Experiment 1,DenseNet-121,1,False,validation,28,0.26014213565559613
Experiment 1,DenseNet-121,1,False,validation,29,0.2539349604575407
Experiment 1,DenseNet-121,1,False,validation,30,0.30183603224300204
Experiment 1,DenseNet-121,1,False,validation,31,0.235374796337315
Experiment 1,DenseNet-121,1,False,validation,32,0.23881807621745837
Experiment 1,DenseNet-121,1,False,validation,33,0.29191268519276664
Experiment 1,DenseNet-121,1,False,validation,34,0.27113686138320536
Experiment 1,DenseNet-121,1,False,validation,35,0.26638996476928395
Experiment 1,DenseNet-121,1,False,validation,36,0.25172051911552745
Experiment 1,DenseNet-121,1,False,validation,37,0.24992207065224648
